/Applications/MATLAB_R2020a.app/bin/matlab -nodesktop

                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
                   R2020a Update 4 (9.8.0.1417392) 64-bit (maci64)
                                    June 24, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> example1

Example 1

Calculating approximate dose

iter: 0, obj: 1.1604e+02
iter: 1, obj: 1.3450e+01, wDiff: 1.1245e-01
iter: 2, obj: 9.3282e+00, wDiff: 5.2796e-02
iter: 3, obj: 7.8748e+00, wDiff: 3.0130e-02
iter: 4, obj: 7.1791e+00, wDiff: 2.4210e-02
iter: 5, obj: 6.7682e+00, wDiff: 1.8152e-02
iter: 6, obj: 6.5031e+00, wDiff: 1.5381e-02
iter: 7, obj: 6.3264e+00, wDiff: 1.1437e-02
iter: 8, obj: 6.2095e+00, wDiff: 9.7480e-03
iter: 9, obj: 6.1249e+00, wDiff: 8.6755e-03
iter: 10, obj: 6.0598e+00, wDiff: 6.0137e-03
iter: 11, obj: 6.0103e+00, wDiff: 8.5461e-03
iter: 12, obj: 5.9650e+00, wDiff: 6.9017e-03
iter: 13, obj: 5.9270e+00, wDiff: 6.3548e-03
iter: 14, obj: 5.8956e+00, wDiff: 4.1960e-03
iter: 15, obj: 5.8704e+00, wDiff: 6.9202e-03
iter: 16, obj: 5.8439e+00, wDiff: 6.7874e-03
iter: 17, obj: 5.8195e+00, wDiff: 3.6391e-03
iter: 18, obj: 5.8022e+00, wDiff: 4.7875e-03
iter: 19, obj: 5.7877e+00, wDiff: 2.8654e-03
iter: 20, obj: 5.7755e+00, wDiff: 5.6277e-03
iter: 21, obj: 5.7628e+00, wDiff: 2.6617e-03
iter: 22, obj: 5.7525e+00, wDiff: 5.3335e-03
iter: 23, obj: 5.7411e+00, wDiff: 4.1282e-03
iter: 24, obj: 5.7310e+00, wDiff: 4.0543e-03
iter: 25, obj: 5.7213e+00, wDiff: 2.3277e-03
iter: 26, obj: 5.7137e+00, wDiff: 3.6713e-03
iter: 27, obj: 5.7062e+00, wDiff: 3.5968e-03
iter: 28, obj: 5.6995e+00, wDiff: 1.9374e-03
iter: 29, obj: 5.6943e+00, wDiff: 3.5701e-03
iter: 30, obj: 5.6896e+00, wDiff: 1.6389e-03
iter: 31, obj: 5.6857e+00, wDiff: 1.5156e-03
iter: 32, obj: 5.6823e+00, wDiff: 1.4196e-03
iter: 33, obj: 5.6792e+00, wDiff: 3.6585e-03
iter: 34, obj: 5.6750e+00, wDiff: 1.5315e-03
iter: 35, obj: 5.6715e+00, wDiff: 3.7413e-03
iter: 36, obj: 5.6677e+00, wDiff: 1.4455e-03
iter: 37, obj: 5.6644e+00, wDiff: 3.8068e-03
iter: 38, obj: 5.6604e+00, wDiff: 1.4892e-03
iter: 39, obj: 5.6574e+00, wDiff: 1.3168e-03
iter: 40, obj: 5.6549e+00, wDiff: 1.1931e-03
iter: 41, obj: 5.6528e+00, wDiff: 1.0857e-03
iter: 42, obj: 5.6511e+00, wDiff: 9.9383e-04

Iterations: 42, Time: 6.38

Calculating approximate dose with continuation 1

iter: 0, obj: 1.1604e+02, dPos: 64.14
iter: 1, obj: 5.6504e+00, dPos: 34.16
iter: 2, obj: 5.6862e+00, dPos: 33.50
iter: 3, obj: 5.7198e+00, dPos: 32.71
iter: 4, obj: 5.7543e+00, dPos: 32.10
iter: 5, obj: 5.7985e+00, dPos: 31.37
iter: 6, obj: 5.7958e+00, dPos: 30.76
iter: 7, obj: 5.8360e+00, dPos: 30.16
iter: 8, obj: 5.8819e+00, dPos: 29.61

Iterations: 8, Time: 32.81

Calculating approximate dose with continuation 2

iter: 0, obj: 1.1604e+02, dPos: 64.14
iter: 1, obj: 5.6504e+00, dPos: 34.16
iter: 2, obj: 5.6862e+00, dPos: 33.50
iter: 3, obj: 5.7198e+00, dPos: 32.71
iter: 4, obj: 5.7543e+00, dPos: 32.10
iter: 5, obj: 5.7985e+00, dPos: 31.37
iter: 6, obj: 5.7958e+00, dPos: 30.76
iter: 7, obj: 5.8360e+00, dPos: 30.16
iter: 8, obj: 5.8819e+00, dPos: 29.61
iter: 9, obj: 5.9260e+00, dPos: 29.31
iter: 10, obj: 5.9737e+00, dPos: 28.82
iter: 11, obj: 6.0183e+00, dPos: 28.16
iter: 12, obj: 6.0784e+00, dPos: 27.91
iter: 13, obj: 6.1111e+00, dPos: 27.49
iter: 14, obj: 6.1828e+00, dPos: 27.18
iter: 15, obj: 6.2410e+00, dPos: 26.88
iter: 16, obj: 6.3010e+00, dPos: 26.40
iter: 17, obj: 6.3553e+00, dPos: 25.73
iter: 18, obj: 6.4350e+00, dPos: 25.61
iter: 19, obj: 6.5287e+00, dPos: 25.36
iter: 20, obj: 6.6479e+00, dPos: 25.18
iter: 21, obj: 6.7581e+00, dPos: 25.12
iter: 22, obj: 6.8865e+00, dPos: 24.88
iter: 23, obj: 6.9487e+00, dPos: 24.45
iter: 24, obj: 7.0472e+00, dPos: 24.21
iter: 25, obj: 7.1316e+00, dPos: 23.73
iter: 26, obj: 7.2315e+00, dPos: 23.48
iter: 27, obj: 7.2971e+00, dPos: 23.06
iter: 28, obj: 7.3188e+00, dPos: 22.82
iter: 29, obj: 7.3966e+00, dPos: 22.63
iter: 30, obj: 7.5123e+00, dPos: 22.33
iter: 31, obj: 7.6369e+00, dPos: 22.09
iter: 32, obj: 7.7308e+00, dPos: 21.66
iter: 33, obj: 7.5238e+00, dPos: 21.00
iter: 34, obj: 7.6166e+00, dPos: 20.87
iter: 35, obj: 7.7059e+00, dPos: 20.75
iter: 36, obj: 7.8276e+00, dPos: 20.69
iter: 37, obj: 7.9383e+00, dPos: 20.39
iter: 38, obj: 8.0935e+00, dPos: 20.33
iter: 39, obj: 8.2295e+00, dPos: 20.02
iter: 40, obj: 8.2455e+00, dPos: 19.36

Iterations: 40, Time: 163.87
>>
